Origin,Destination,,,,,,,,,
Abu Dhabi,Ahmedabad,,,,,,,,,
Abu Dhabi,Ahmedabad,,,,,,,,,
Abu Dhabi,Ahmedabad,,,,,,,,,
Abu Dhabi,Ahmedabad,,,,,,,,,
Abu Dhabi,Ahmedabad,,,,,,,,,
Abu Dhabi,Ahmedabad,,,,,,,,,
Abu Dhabi,Amritsar,,,,,,,,,
Abu Dhabi,Amritsar,,,,,,,,,
Abu Dhabi,Bagdogra,,,,,,,,,
Abu Dhabi,Bagdogra,,,,,,,,,
Abu Dhabi,Bangkok,,,,,,,,,
Abu Dhabi,Bengaluru,,,,,,,,,
Abu Dhabi,Chandigarh,,,,,,,,,
Abu Dhabi,Chandigarh,,,,,,,,,
Abu Dhabi,Chandigarh,,,,,,,,,
Abu Dhabi,Chandigarh,,,,,,,,,
Abu Dhabi,Chennai,,,,,,,,,
Abu Dhabi,Dehra Dun,,,,,,,,,
Abu Dhabi,Dehra Dun,,,,,,,,,
Abu Dhabi,Delhi,,,,,,,,,
Abu Dhabi,Delhi,,,,,,,,,
Abu Dhabi,Delhi,,,,,,,,,
Abu Dhabi,Delhi,,,,,,,,,
Abu Dhabi,Delhi,,,,,,,,,
Abu Dhabi,Goa,,,,,,,,,
Abu Dhabi,Goa,,,,,,,,,
Abu Dhabi,Goa,,,,,,,,,
Abu Dhabi,Goa,,,,,,,,,
Abu Dhabi,Goa,,,,,,,,,
Abu Dhabi,Goa,,,,,,,,,
Abu Dhabi,Goa-New Goa,,,,,,,,,
Abu Dhabi,Guwahati,,,,,,,,,
Abu Dhabi,Jaipur,,,,,,,,,
Abu Dhabi,Jammu,,,,,,,,,
Abu Dhabi,Jammu,,,,,,,,,
Abu Dhabi,Jammu,,,,,,,,,
Abu Dhabi,Jammu,,,,,,,,,
Abu Dhabi,Kannur,,,,,,,,,
Abu Dhabi,Kannur,,,,,,,,,
Abu Dhabi,Kochi,,,,,,,,,
Abu Dhabi,Kochi,,,,,,,,,
Abu Dhabi,Kochi,,,,,,,,,
Abu Dhabi,Kolkata,,,,,,,,,
Abu Dhabi,Kolkata,,,,,,,,,
Abu Dhabi,Leh,,,,,,,,,
Abu Dhabi,Leh,,,,,,,,,
Abu Dhabi,Leh,,,,,,,,,
Abu Dhabi,Leh,,,,,,,,,
Abu Dhabi,Leh,,,,,,,,,
Abu Dhabi,Leh,,,,,,,,,
Abu Dhabi,Lucknow,,,,,,,,,
Abu Dhabi,Lucknow,,,,,,,,,
Abu Dhabi,Lucknow,,,,,,,,,
Abu Dhabi,Male,,,,,,,,,
Abu Dhabi,Male,,,,,,,,,
Abu Dhabi,Mumbai,,,,,,,,,
Abu Dhabi,Mumbai,,,,,,,,,
Abu Dhabi,Mumbai,,,,,,,,,
Abu Dhabi,Mumbai,,,,,,,,,
Abu Dhabi,Mumbai,,,,,,,,,
Abu Dhabi,Mumbai,,,,,,,,,
Abu Dhabi,Nagpur,,,,,,,,,
Abu Dhabi,Patna,,,,,,,,,
Abu Dhabi,Patna,,,,,,,,,
Abu Dhabi,Pune,,,,,,,,,
Abu Dhabi,Ranchi,,,,,,,,,
Abu Dhabi,Ranchi,,,,,,,,,
Abu Dhabi,Ranchi,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Srinagar,,,,,,,,,
Abu Dhabi,Varanasi,,,,,,,,,
Abu Dhabi,Varanasi,,,,,,,,,
Abu Dhabi,Varanasi,,,,,,,,,
Ahmedabad,Abu Dhabi,,,,,,,,,
Ahmedabad,Abu Dhabi,,,,,,,,,
Ahmedabad,Abu Dhabi,,,,,,,,,
Ahmedabad,Abu Dhabi,,,,,,,,,
Ahmedabad,Abu Dhabi,,,,,,,,,
Ahmedabad,Abu Dhabi,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Amritsar,,,,,,,,,
Ahmedabad,Bagdogra,,,,,,,,,
Ahmedabad,Bagdogra,,,,,,,,,
Ahmedabad,Bagdogra,,,,,,,,,
Ahmedabad,Bagdogra,,,,,,,,,
Ahmedabad,Bagdogra,,,,,,,,,
Ahmedabad,Bagdogra,,,,,,,,,
Ahmedabad,Bangkok,,,,,,,,,
Ahmedabad,Bangkok,,,,,,,,,
Ahmedabad,Bangkok,,,,,,,,,
Ahmedabad,Bangkok,,,,,,,,,
Ahmedabad,Bangkok,,,,,,,,,
Ahmedabad,Bangkok,,,,,,,,,
Ahmedabad,Bangkok,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
Ahmedabad,Bengaluru,,,,,,,,,
