Capital,Latitude,Longitude,Population
Amaravati,16.5062,80.648,442631
Itanagar,27.1004,93.6184,103758
Dispur,26.1445,91.7362,109079
Patna,25.5941,85.1376,2123191
Raipur,21.2514,81.6296,2118667
Panaji,15.4909,73.8278,113166
Gandhinagar,23.2156,72.6369,120197
Chandigarh,30.7333,76.7794,1054686
Shimla,31.1048,77.1734,176309
Ranchi,23.3441,85.3096,1466766
Bengaluru,12.9724,77.5946,11386488
Thiruvananthapuram,8.5241,76.9366,975440
Bhopal,23.2599,77.4126,1917160
Mumbai,19.076,72.8777,12442373
Imphal,24.817,93.9368,228036
Shillong,25.5722,91.8862,148339
Aizawl,23.7367,92.7184,293169
Kohima,25.679,94.1226,141547
Bhubaneshwar,20.2961,85.8245,847857
Jaipur,26.9124,75.7873,3030150
Gangtok,27.3389,88.6042,100657
Chennai,13.0827,80.2707,7167988
Hyderabad,17.385,78.4867,7967507
Agartala,23.8315,91.2868,486452
Lucknow,26.8467,80.9462,2858443
Dehradun,30.3165,78.0322,612012
Kolkata,22.5726,88.3639,14757676
Delhi,28.66,77.23,29617000
Srinagar,34.0911,74.8061,1180570
